Year,Total
1920,3.52828
1921,4.296254
1922,6.533589
1923,18.870102
1924,25.550464
1925,22.268421
1926,23.067365
1927,25.133963
1928,25.402262
1929,26.099245
1930,25.920159
1931,23.355293
1932,18.994802
1933,17.850906
1934,18.348196
1935,17.340026
1936,18.65217
1937,18.610713
1938,20.264264
1939,18.32789
1940,19.931075
1941,18.679785
1942,13.091902
1943,
1944,
1945,
1946,
1947,15.443689
1948,17.988872
1949,17.115867
1950,22.693233
1951,23.699624
1952,24.02251
1953,24.762587
1954,26.513998
1955,24.819837
1956,24.082933
1957,24.125432
1958,21.869027
1959,23.298574
1960,24.620397
1961,25.012412
1962,26.088015
1963,24.351976
1964,24.494049
1965,25.125011
1966,26.182113
1967,26.29356
1968,28.931577
1969,26.946622
1970,25.937196
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,38.6
1979,40.2
1980,40.9
1981,38.4
1982,35.1
1983,39.9
1984,38.7
1985,45.1
1986,51.1
1987,55
1988,60.6
1989,66.3
1990,67.9
1991,70.9
1992,67.3
1993,67.8
1994,65
1995,74.7
1996,68.6
1997,75.3
1998,77.9
1999,82.1
2000,101.5
2001,113.9
2002,126.2
2003,147.5
2004,162.1
2005,162.1
2006,181.6
2007,190.1
2008,170
2009,157.4
2010,157.9
2011,160.9
2012,174.9
2013,165.1
2014,176.5
2015,176.7
